iter	Passed	Remaining
0	130	130035
1	131	65400
2	131	43831
3	132	33040
4	133	26570
5	134	22353
6	136	19353
7	137	17028
8	138	15208
9	138	13747
10	139	12560
11	141	11636
12	142	10795
13	143	10081
14	143	9453
15	145	8918
16	145	8433
17	146	8007
18	147	7623
19	148	7269
20	149	6987
21	150	6707
22	151	6442
23	152	6198
24	153	5985
25	154	5786
26	155	5597
27	156	5417
28	156	5250
29	157	5096
30	158	4950
31	159	4819
32	160	4693
33	160	4573
34	161	4460
35	162	4354
36	163	4255
37	165	4199
38	167	4116
39	167	4030
40	168	3946
41	169	3870
42	170	3798
43	171	3727
44	172	3659
45	173	3595
46	174	3532
47	175	3473
48	175	3415
49	177	3363
50	178	3318
51	179	3276
52	180	3229
53	181	3181
54	182	3137
55	183	3093
56	184	3049
57	185	3007
58	186	2968
59	187	2930
60	187	2892
61	188	2857
62	189	2823
63	190	2791
64	191	2759
65	192	2729
66	193	2701
67	194	2671
68	195	2643
69	197	2617
70	198	2592
71	199	2566
72	200	2540
73	201	2515
74	201	2490
75	203	2468
76	204	2446
77	205	2423
78	206	2404
79	207	2384
80	209	2374
81	210	2354
82	210	2329
83	211	2309
84	212	2288
85	213	2269
86	214	2252
87	215	2238
88	217	2222
89	217	2203
90	218	2185
91	219	2168
92	220	2152
93	221	2136
94	222	2124
95	225	2119
96	225	2103
97	227	2089
98	227	2074
99	228	2059
100	229	2045
101	230	2031
102	231	2017
103	232	2003
104	233	1989
105	234	1976
106	235	1964
107	236	1952
108	237	1940
109	239	1934
110	239	1921
111	240	1908
112	241	1897
113	242	1887
114	243	1875
115	244	1864
116	245	1851
117	246	1840
118	247	1829
119	248	1819
120	248	1808
121	250	1799
122	251	1793
123	252	1784
124	253	1776
125	254	1768
126	255	1757
127	256	1749
128	257	1740
129	258	1732
130	259	1723
131	260	1714
132	261	1704
133	262	1695
134	263	1689
135	264	1681
136	265	1673
137	266	1665
138	268	1661
139	269	1655
140	270	1648
141	271	1639
142	272	1631
143	273	1623
144	274	1615
145	274	1608
146	276	1601
147	276	1594
148	277	1587
149	278	1580
150	279	1573
151	280	1565
152	281	1559
153	283	1556
154	284	1550
155	285	1543
156	286	1537
157	287	1531
158	288	1526
159	289	1520
160	290	1513
161	291	1506
162	292	1500
163	292	1493
164	293	1487
165	294	1481
166	295	1476
167	296	1470
168	298	1467
169	299	1462
170	300	1457
171	301	1450
172	302	1446
173	303	1440
174	304	1434
175	305	1428
176	305	1422
177	307	1418
178	308	1413
179	309	1409
180	310	1403
181	311	1398
182	311	1392
183	313	1390
184	314	1387
185	315	1381
186	316	1376
187	317	1371
188	318	1366
189	319	1361
190	320	1356
191	321	1351
192	322	1347
193	323	1342
194	324	1338
195	325	1333
196	325	1327
197	326	1323
198	328	1321
199	329	1318
200	330	1313
201	331	1308
202	332	1304
203	332	1299
204	333	1295
205	334	1290
206	335	1285
207	336	1281
208	337	1277
209	338	1273
210	339	1269
211	340	1265
212	341	1263
213	343	1262
214	344	1257
215	345	1254
216	346	1250
217	347	1246
218	348	1242
219	349	1238
220	350	1234
221	351	1230
222	352	1227
223	353	1223
224	354	1220
225	355	1216
226	356	1213
227	357	1210
228	359	1209
229	360	1205
230	361	1201
231	361	1198
232	362	1194
233	363	1190
234	364	1186
235	365	1182
236	366	1180
237	367	1177
238	368	1173
239	369	1170
240	370	1166
241	371	1164
242	373	1162
243	374	1158
244	374	1155
245	375	1152
246	376	1148
247	378	1146
248	379	1143
249	380	1140
250	380	1136
251	381	1133
252	382	1129
253	383	1126
254	384	1123
255	385	1119
256	387	1119
257	388	1116
258	389	1113
259	390	1110
260	391	1107
261	391	1104
262	392	1101
263	393	1098
264	394	1095
265	395	1091
266	396	1088
267	397	1085
268	398	1082
269	399	1080
270	400	1078
271	402	1077
272	403	1075
273	404	1072
274	405	1069
275	406	1066
276	407	1063
277	408	1060
278	409	1057
279	410	1054
280	411	1051
281	412	1049
282	413	1046
283	414	1043
284	414	1040
285	415	1038
286	417	1037
287	418	1035
288	419	1032
289	420	1030
290	421	1027
291	423	1025
292	424	1023
293	425	1020
294	426	1018
295	427	1015
296	428	1013
297	428	1010
298	429	1007
299	431	1006
300	432	1005
301	433	1002
302	434	1000
303	435	997
304	436	994
305	437	991
306	438	989
307	439	987
308	440	985
